"tripduration","start_station_id","end_station_id","bikeid","usertype","birth.year","gender","start_day","start_wday","start_month","start_year","start_hour","start_minute","start_second","end_day","end_wday","end_month","end_year","end_hour","end_minute","end_second"
311,3185,3279,29224,0,1988,1,1,"mercredi",5,2019,0,7,36.467,1,"mercredi",5,2019,0,12,47.635
538,3681,3203,26170,0,1974,1,1,"mercredi",5,2019,0,8,29.284,1,"mercredi",5,2019,0,17,27.941
178,3638,3639,29517,0,1988,1,1,"mercredi",5,2019,0,39,36.475,1,"mercredi",5,2019,0,42,34.964
317,3206,3212,29606,0,1986,2,1,"mercredi",5,2019,1,24,28.022,1,"mercredi",5,2019,1,29,45.573
354,3639,3202,26224,1,1986,2,1,"mercredi",5,2019,1,54,39.666,1,"mercredi",5,2019,2,0,34.175
357,3639,3202,29541,1,1986,1,1,"mercredi",5,2019,1,54,43.63,1,"mercredi",5,2019,2,0,41.021
138,3183,3681,29280,0,1979,1,1,"mercredi",5,2019,2,25,4.832,1,"mercredi",5,2019,2,27,23.058
299,3194,3679,29479,0,1987,1,1,"mercredi",5,2019,3,50,9.118,1,"mercredi",5,2019,3,55,8.885
296,3203,3202,29554,0,1967,1,1,"mercredi",5,2019,4,44,27.78,1,"mercredi",5,2019,4,49,24.457
811,3207,3185,29666,0,1984,2,1,"mercredi",5,2019,4,55,48.947,1,"mercredi",5,2019,5,9,20.281
293,3272,3638,29674,0,1964,1,1,"mercredi",5,2019,5,6,54.642,1,"mercredi",5,2019,5,11,48.068
287,3203,3186,29449,0,1973,2,1,"mercredi",5,2019,5,15,41.546,1,"mercredi",5,2019,5,20,29.036
268,3186,3205,29449,0,1990,1,1,"mercredi",5,2019,5,22,29.355,1,"mercredi",5,2019,5,26,57.718
234,3278,3186,29614,0,1985,1,1,"mercredi",5,2019,5,23,58.931,1,"mercredi",5,2019,5,27,53.228
156,3279,3186,26162,0,1976,1,1,"mercredi",5,2019,5,27,32.114,1,"mercredi",5,2019,5,30,8.427
191,3276,3186,29577,0,1979,2,1,"mercredi",5,2019,5,37,13.892,1,"mercredi",5,2019,5,40,25.614
166,3267,3183,29550,0,1994,2,1,"mercredi",5,2019,5,41,10.749,1,"mercredi",5,2019,5,43,57.673
292,3677,3195,29668,0,1974,1,1,"mercredi",5,2019,5,42,31.672,1,"mercredi",5,2019,5,47,24.131
390,3209,3639,29297,0,1987,2,1,"mercredi",5,2019,5,45,3.786,1,"mercredi",5,2019,5,51,34.588
235,3203,3186,26200,0,1987,1,1,"mercredi",5,2019,5,51,16.257,1,"mercredi",5,2019,5,55,11.44
253,3214,3275,29299,0,1983,2,1,"mercredi",5,2019,5,53,33.284,1,"mercredi",5,2019,5,57,46.554
358,3225,3195,29612,0,1962,1,1,"mercredi",5,2019,5,54,8.479,1,"mercredi",5,2019,6,0,7.07
305,3203,3639,29534,0,1964,1,1,"mercredi",5,2019,5,57,32.534,1,"mercredi",5,2019,6,2,38.133
220,3269,3186,26307,0,1989,2,1,"mercredi",5,2019,6,1,6.295,1,"mercredi",5,2019,6,4,46.305
287,3678,3195,26214,0,1967,1,1,"mercredi",5,2019,6,1,18.885,1,"mercredi",5,2019,6,6,6.364
188,3270,3186,29653,0,1976,1,1,"mercredi",5,2019,6,2,41.705,1,"mercredi",5,2019,6,5,49.733
124,3279,3186,28771,0,1982,1,1,"mercredi",5,2019,6,6,7.605,1,"mercredi",5,2019,6,8,11.959
193,3199,3638,29662,0,1992,1,1,"mercredi",5,2019,6,7,23.865,1,"mercredi",5,2019,6,10,37.199
83,3639,3183,29534,0,1988,1,1,"mercredi",5,2019,6,7,58.373,1,"mercredi",5,2019,6,9,21.558
248,3270,3186,29245,0,1981,1,1,"mercredi",5,2019,6,8,16.353,1,"mercredi",5,2019,6,12,25.017
209,3267,3184,29588,0,1993,1,1,"mercredi",5,2019,6,14,19.235,1,"mercredi",5,2019,6,17,49.073
187,3276,3186,29233,0,1980,1,1,"mercredi",5,2019,6,15,31.681,1,"mercredi",5,2019,6,18,39.128
244,3267,3183,29271,0,1967,1,1,"mercredi",5,2019,6,20,33.443,1,"mercredi",5,2019,6,24,37.784
168,3279,3186,26236,0,1986,1,1,"mercredi",5,2019,6,20,54.05,1,"mercredi",5,2019,6,23,42.244
234,3276,3186,26306,0,1979,1,1,"mercredi",5,2019,6,21,32.784,1,"mercredi",5,2019,6,25,27.159
1023,3694,3183,29247,0,1977,1,1,"mercredi",5,2019,6,23,45.587,1,"mercredi",5,2019,6,40,48.703
291,3281,3640,29453,0,1980,1,1,"mercredi",5,2019,6,24,5.49,1,"mercredi",5,2019,6,28,57.04
237,3209,3186,29536,0,1980,1,1,"mercredi",5,2019,6,27,44.232,1,"mercredi",5,2019,6,31,42.105
115,3213,3186,29535,0,1970,1,1,"mercredi",5,2019,6,27,47.114,1,"mercredi",5,2019,6,29,42.871
181,3214,3183,26232,0,1979,1,1,"mercredi",5,2019,6,30,5.747,1,"mercredi",5,2019,6,33,6.881
144,3279,3186,26269,0,1987,2,1,"mercredi",5,2019,6,30,50.883,1,"mercredi",5,2019,6,33,15.738
163,3186,3279,26162,0,1976,1,1,"mercredi",5,2019,6,36,45.906,1,"mercredi",5,2019,6,39,29.222
147,3213,3186,26183,0,1974,2,1,"mercredi",5,2019,6,38,8.637,1,"mercredi",5,2019,6,40,36.211
551,3210,3269,29582,0,1981,1,1,"mercredi",5,2019,6,40,23.153,1,"mercredi",5,2019,6,49,34.873
336,3184,3202,29589,0,1981,1,1,"mercredi",5,2019,6,41,22.044,1,"mercredi",5,2019,6,46,58.385
208,3194,3195,29257,0,1977,2,1,"mercredi",5,2019,6,41,23.493,1,"mercredi",5,2019,6,44,51.872
390,3199,3639,29469,0,1992,2,1,"mercredi",5,2019,6,42,52.177,1,"mercredi",5,2019,6,49,23.133
219,3276,3183,29236,0,1968,1,1,"mercredi",5,2019,6,43,5.371,1,"mercredi",5,2019,6,46,44.986
207,3267,3183,29441,0,1990,1,1,"mercredi",5,2019,6,44,38.976,1,"mercredi",5,2019,6,48,6.198
250,3203,3186,29254,0,1994,2,1,"mercredi",5,2019,6,45,1.049,1,"mercredi",5,2019,6,49,12.002
253,3270,3186,26255,0,1986,1,1,"mercredi",5,2019,6,46,31.205,1,"mercredi",5,2019,6,50,44.737
230,3276,3183,29640,0,1983,1,1,"mercredi",5,2019,6,46,52.651,1,"mercredi",5,2019,6,50,43.164
172,3276,3186,29644,0,1989,1,1,"mercredi",5,2019,6,49,19.749,1,"mercredi",5,2019,6,52,12.241
215,3267,3183,26233,0,1990,1,1,"mercredi",5,2019,6,50,58.709,1,"mercredi",5,2019,6,54,33.983
401,3199,3639,29494,0,1994,1,1,"mercredi",5,2019,6,51,25.47,1,"mercredi",5,2019,6,58,6.566
320,3187,3209,29671,0,1987,2,1,"mercredi",5,2019,6,51,38.86,1,"mercredi",5,2019,6,56,59.847
289,3275,3184,29495,0,1980,1,1,"mercredi",5,2019,6,52,16.879,1,"mercredi",5,2019,6,57,6.661
578,3192,3184,29211,0,1969,1,1,"mercredi",5,2019,6,53,0.341,1,"mercredi",5,2019,7,2,38.807
282,3278,3186,29533,0,1981,1,1,"mercredi",5,2019,6,53,11.791,1,"mercredi",5,2019,6,57,54.149
243,3186,3205,29233,0,1956,1,1,"mercredi",5,2019,6,53,13.571,1,"mercredi",5,2019,6,57,17.542
246,3203,3273,29613,0,1992,1,1,"mercredi",5,2019,6,54,26.855,1,"mercredi",5,2019,6,58,33.026
316,3203,3638,29569,0,1970,2,1,"mercredi",5,2019,6,54,47.746,1,"mercredi",5,2019,7,0,3.772
262,3678,3195,26302,0,1981,1,1,"mercredi",5,2019,6,55,11.024,1,"mercredi",5,2019,6,59,33.631
184,3270,3186,29573,0,1983,1,1,"mercredi",5,2019,6,57,38.478,1,"mercredi",5,2019,7,0,42.882
279,3185,3184,29666,0,1988,2,1,"mercredi",5,2019,6,58,58.905,1,"mercredi",5,2019,7,3,38.268
167,3267,3183,29207,0,1990,1,1,"mercredi",5,2019,7,1,10.343,1,"mercredi",5,2019,7,3,57.674
307,3679,3195,29479,0,1985,2,1,"mercredi",5,2019,7,1,59.313,1,"mercredi",5,2019,7,7,6.738
158,3279,3186,29224,0,1976,1,1,"mercredi",5,2019,7,2,33.484,1,"mercredi",5,2019,7,5,12.122
200,3270,3186,29643,0,1969,0,1,"mercredi",5,2019,7,2,56.728,1,"mercredi",5,2019,7,6,16.769
315,3275,3214,29299,0,1983,2,1,"mercredi",5,2019,7,4,10.674,1,"mercredi",5,2019,7,9,25.816
300,3678,3195,29503,0,1988,1,1,"mercredi",5,2019,7,4,25.886,1,"mercredi",5,2019,7,9,26.636
190,3269,3272,29596,0,1982,2,1,"mercredi",5,2019,7,4,35.483,1,"mercredi",5,2019,7,7,45.974
143,3679,3194,29681,0,1994,1,1,"mercredi",5,2019,7,5,38.949,1,"mercredi",5,2019,7,8,1.986
552,3203,3184,26170,0,1969,1,1,"mercredi",5,2019,7,7,33.344,1,"mercredi",5,2019,7,16,45.345
219,3186,3275,29535,0,1969,1,1,"mercredi",5,2019,7,7,38.512,1,"mercredi",5,2019,7,11,18.201
204,3267,3183,29487,0,1989,1,1,"mercredi",5,2019,7,7,49.179,1,"mercredi",5,2019,7,11,13.787
198,3194,3195,26288,0,1995,1,1,"mercredi",5,2019,7,7,50.007,1,"mercredi",5,2019,7,11,8.391
329,3678,3195,26290,0,1995,1,1,"mercredi",5,2019,7,8,6.289,1,"mercredi",5,2019,7,13,35.892
420,3280,3195,29673,0,1983,1,1,"mercredi",5,2019,7,9,31.623,1,"mercredi",5,2019,7,16,32.291
260,3278,3186,26189,0,1978,1,1,"mercredi",5,2019,7,10,36.544,1,"mercredi",5,2019,7,14,56.574
168,3279,3186,29437,0,1977,2,1,"mercredi",5,2019,7,10,37.055,1,"mercredi",5,2019,7,13,25.375
225,3638,3199,29662,0,1992,1,1,"mercredi",5,2019,7,11,8.689,1,"mercredi",5,2019,7,14,54.251
208,3278,3186,29622,0,1985,1,1,"mercredi",5,2019,7,11,10.892,1,"mercredi",5,2019,7,14,39.649
770,3194,3185,29681,1,1969,0,1,"mercredi",5,2019,7,11,34.567,1,"mercredi",5,2019,7,24,24.811
320,3269,3186,29239,0,1987,2,1,"mercredi",5,2019,7,11,46.815,1,"mercredi",5,2019,7,17,7.397
110,3199,3202,29227,0,1990,1,1,"mercredi",5,2019,7,12,30.872,1,"mercredi",5,2019,7,14,21.549
650,3187,3225,26226,0,1984,1,1,"mercredi",5,2019,7,13,17.537,1,"mercredi",5,2019,7,24,7.565
100,3183,3639,29550,0,1994,1,1,"mercredi",5,2019,7,13,29.367,1,"mercredi",5,2019,7,15,9.413
232,3203,3186,37987,0,1979,1,1,"mercredi",5,2019,7,15,28.511,1,"mercredi",5,2019,7,19,20.683
144,3267,3184,29524,0,1969,0,1,"mercredi",5,2019,7,16,17.711,1,"mercredi",5,2019,7,18,41.859
180,3209,3186,29252,0,1989,1,1,"mercredi",5,2019,7,17,13.345,1,"mercredi",5,2019,7,20,14.116
147,3214,3183,26264,0,1984,1,1,"mercredi",5,2019,7,17,14.644,1,"mercredi",5,2019,7,19,42.503
317,3207,3640,29242,0,1994,1,1,"mercredi",5,2019,7,18,4.698,1,"mercredi",5,2019,7,23,22.591
328,3203,3202,29472,0,1993,1,1,"mercredi",5,2019,7,18,48.605,1,"mercredi",5,2019,7,24,17.513
2311,3275,3639,29535,0,1987,1,1,"mercredi",5,2019,7,19,46.696,1,"mercredi",5,2019,7,58,18.633
608,3268,3186,29669,0,1985,1,1,"mercredi",5,2019,7,20,18.429,1,"mercredi",5,2019,7,30,27.095
323,3194,3195,29593,0,1996,2,1,"mercredi",5,2019,7,20,57.205,1,"mercredi",5,2019,7,26,21.17
182,3270,3186,29481,0,1956,1,1,"mercredi",5,2019,7,22,18.204,1,"mercredi",5,2019,7,25,20.912
188,3272,3186,29596,0,1985,1,1,"mercredi",5,2019,7,22,28.25,1,"mercredi",5,2019,7,25,36.77
187,3270,3186,26266,0,1969,1,1,"mercredi",5,2019,7,22,37.523,1,"mercredi",5,2019,7,25,45.496
550,3195,3679,29668,0,1964,1,1,"mercredi",5,2019,7,23,34.023,1,"mercredi",5,2019,7,32,44.333
154,3279,3186,29513,0,1975,1,1,"mercredi",5,2019,7,23,36.708,1,"mercredi",5,2019,7,26,11.116
40290,3192,3195,29610,1,1989,2,1,"mercredi",5,2019,7,23,39.557,1,"mercredi",5,2019,18,35,10.41
134,3483,3186,29473,0,1963,2,1,"mercredi",5,2019,7,24,4.885,1,"mercredi",5,2019,7,26,19.853
93,3639,3183,26201,0,1969,0,1,"mercredi",5,2019,7,24,50.029,1,"mercredi",5,2019,7,26,23.779
264,3272,3639,29241,0,1984,2,1,"mercredi",5,2019,7,25,21.96,1,"mercredi",5,2019,7,29,46.756
508,3195,3194,26290,0,1960,1,1,"mercredi",5,2019,7,25,36.29,1,"mercredi",5,2019,7,34,4.987
501,3280,3195,29578,0,1986,1,1,"mercredi",5,2019,7,25,41.157,1,"mercredi",5,2019,7,34,2.181
268,3187,3183,26298,0,1976,1,1,"mercredi",5,2019,7,27,45.395,1,"mercredi",5,2019,7,32,14.305
277,3269,3186,29675,0,1973,1,1,"mercredi",5,2019,7,28,6.782,1,"mercredi",5,2019,7,32,44.094
187,3194,3195,29609,0,1966,1,1,"mercredi",5,2019,7,28,13.884,1,"mercredi",5,2019,7,31,21.762
292,3267,3183,29504,0,1955,1,1,"mercredi",5,2019,7,28,21.162,1,"mercredi",5,2019,7,33,13.922
330,3639,3199,29494,0,1992,2,1,"mercredi",5,2019,7,28,45.928,1,"mercredi",5,2019,7,34,16.802
130,3681,3183,29448,0,1974,1,1,"mercredi",5,2019,7,29,17.625,1,"mercredi",5,2019,7,31,27.757
463,3192,3186,29477,0,1985,1,1,"mercredi",5,2019,7,30,3.141,1,"mercredi",5,2019,7,37,46.554
636,3193,3195,29623,0,1992,1,1,"mercredi",5,2019,7,31,59.573,1,"mercredi",5,2019,7,42,35.8
257,3483,3186,26239,0,1972,2,1,"mercredi",5,2019,7,33,32.512,1,"mercredi",5,2019,7,37,50.054
186,3270,3186,29500,0,1982,1,1,"mercredi",5,2019,7,33,51.918,1,"mercredi",5,2019,7,36,58.426
251,3203,3186,29518,0,1977,1,1,"mercredi",5,2019,7,33,58.082,1,"mercredi",5,2019,7,38,9.171
263,3205,3186,29608,0,1989,1,1,"mercredi",5,2019,7,34,48.993,1,"mercredi",5,2019,7,39,12.011
224,3278,3273,26178,0,1982,1,1,"mercredi",5,2019,7,36,1.553,1,"mercredi",5,2019,7,39,46.499
369,3207,3195,26195,1,1993,1,1,"mercredi",5,2019,7,36,32.027,1,"mercredi",5,2019,7,42,41.614
215,3209,3186,29307,0,1980,2,1,"mercredi",5,2019,7,36,39.636,1,"mercredi",5,2019,7,40,15.571
506,3277,3186,29447,0,1982,1,1,"mercredi",5,2019,7,36,52.193,1,"mercredi",5,2019,7,45,18.632
219,3279,3185,26162,0,1976,1,1,"mercredi",5,2019,7,37,56.134,1,"mercredi",5,2019,7,41,35.134
453,3276,3183,29434,0,1986,1,1,"mercredi",5,2019,7,38,4.689,1,"mercredi",5,2019,7,45,38.467
408,3209,3199,29671,0,1985,1,1,"mercredi",5,2019,7,38,36.603,1,"mercredi",5,2019,7,45,25.23
135,3681,3275,26252,0,1994,1,1,"mercredi",5,2019,7,39,59.285,1,"mercredi",5,2019,7,42,14.794
320,3203,3202,29209,0,1992,2,1,"mercredi",5,2019,7,40,22.608,1,"mercredi",5,2019,7,45,42.774
192,3681,3183,26173,0,1988,2,1,"mercredi",5,2019,7,40,31.573,1,"mercredi",5,2019,7,43,44.569
682,3270,3186,29198,0,1957,2,1,"mercredi",5,2019,7,40,57.643,1,"mercredi",5,2019,7,52,20.356
140,3196,3198,29308,0,1989,1,1,"mercredi",5,2019,7,42,23.714,1,"mercredi",5,2019,7,44,44.386
495,3272,3639,29122,0,1983,1,1,"mercredi",5,2019,7,42,44.067,1,"mercredi",5,2019,7,50,59.983
326,3272,3639,29229,0,1988,1,1,"mercredi",5,2019,7,44,16.054,1,"mercredi",5,2019,7,49,42.321
281,3202,3639,29589,0,1958,1,1,"mercredi",5,2019,7,44,17.62,1,"mercredi",5,2019,7,48,59.434
410,3267,3638,26227,0,1994,1,1,"mercredi",5,2019,7,44,46.356,1,"mercredi",5,2019,7,51,36.414
564,3276,3269,29584,0,1983,2,1,"mercredi",5,2019,7,45,28.799,1,"mercredi",5,2019,7,54,53.569
217,3268,3192,29624,0,1987,2,1,"mercredi",5,2019,7,45,50.33,1,"mercredi",5,2019,7,49,27.767
315,3267,3183,29279,0,1992,2,1,"mercredi",5,2019,7,46,30.525,1,"mercredi",5,2019,7,51,45.531
184,3279,3186,26294,0,1986,1,1,"mercredi",5,2019,7,47,31.765,1,"mercredi",5,2019,7,50,35.93
383,3203,3639,26228,0,1983,1,1,"mercredi",5,2019,7,47,35.585,1,"mercredi",5,2019,7,53,59.54
2409,3210,3275,26185,0,1969,1,1,"mercredi",5,2019,7,48,12.457,1,"mercredi",5,2019,8,28,21.591
796,3277,3186,29493,0,1988,1,1,"mercredi",5,2019,7,48,25.177,1,"mercredi",5,2019,8,1,41.271
276,3187,3183,29216,0,1978,1,1,"mercredi",5,2019,7,48,25.643,1,"mercredi",5,2019,7,53,2.585
269,3203,3186,29597,0,1989,2,1,"mercredi",5,2019,7,48,50.54,1,"mercredi",5,2019,7,53,20.351
214,3270,3186,26306,0,1971,2,1,"mercredi",5,2019,7,49,12.592,1,"mercredi",5,2019,7,52,47.488
389,3203,3202,29664,0,1994,2,1,"mercredi",5,2019,7,49,47.393,1,"mercredi",5,2019,7,56,16.525
698,3210,3186,29272,0,1991,1,1,"mercredi",5,2019,7,50,14.269,1,"mercredi",5,2019,8,1,53.212
101,3183,3184,29441,0,1966,1,1,"mercredi",5,2019,7,50,41.632,1,"mercredi",5,2019,7,52,23.034
249,3481,3183,29570,0,1986,1,1,"mercredi",5,2019,7,50,47.636,1,"mercredi",5,2019,7,54,57.176
258,3202,3639,29209,0,1989,1,1,"mercredi",5,2019,7,51,11.102,1,"mercredi",5,2019,7,55,30.011
199,3268,3192,29237,0,1979,1,1,"mercredi",5,2019,7,51,53.659,1,"mercredi",5,2019,7,55,13.044
74,3186,3273,29577,0,1983,1,1,"mercredi",5,2019,7,52,6.13,1,"mercredi",5,2019,7,53,21.019
259,3276,3183,29677,0,1990,1,1,"mercredi",5,2019,7,52,6.361,1,"mercredi",5,2019,7,56,25.813
2962,3192,3183,29605,0,1977,1,1,"mercredi",5,2019,7,52,31.485,1,"mercredi",5,2019,8,41,54.165
235,3677,3195,29594,0,1976,1,1,"mercredi",5,2019,7,52,38.504,1,"mercredi",5,2019,7,56,34.193
473,3193,3195,29642,0,1992,1,1,"mercredi",5,2019,7,52,50.118,1,"mercredi",5,2019,8,0,43.558
408,3269,3186,29291,0,1981,2,1,"mercredi",5,2019,7,53,7.257,1,"mercredi",5,2019,7,59,55.632
430,3192,3186,26243,0,1988,1,1,"mercredi",5,2019,7,53,9.391,1,"mercredi",5,2019,8,0,19.626
229,3205,3186,29233,0,1989,1,1,"mercredi",5,2019,7,53,10.263,1,"mercredi",5,2019,7,57,0.162
260,3638,3186,29674,0,1991,1,1,"mercredi",5,2019,7,53,35.623,1,"mercredi",5,2019,7,57,56.593
238,3205,3185,26259,0,1983,1,1,"mercredi",5,2019,7,53,45.632,1,"mercredi",5,2019,7,57,44.104
284,3269,3186,26278,0,1982,1,1,"mercredi",5,2019,7,53,45.77,1,"mercredi",5,2019,7,58,30.309
764,3192,3639,26184,0,1984,1,1,"mercredi",5,2019,7,54,12.865,1,"mercredi",5,2019,8,6,57.446
374,3209,3183,26152,0,1976,1,1,"mercredi",5,2019,7,54,28.05,1,"mercredi",5,2019,8,0,42.107
195,3481,3639,29546,0,1984,2,1,"mercredi",5,2019,7,55,15.747,1,"mercredi",5,2019,7,58,31.163
494,3280,3195,26220,0,1983,1,1,"mercredi",5,2019,7,55,25.752,1,"mercredi",5,2019,8,3,40.351
108,3183,3184,29487,0,1966,1,1,"mercredi",5,2019,7,55,49.361,1,"mercredi",5,2019,7,57,37.569
220,3267,3183,29452,0,1989,2,1,"mercredi",5,2019,7,57,6.971,1,"mercredi",5,2019,8,0,47.968
217,3203,3273,29123,0,1976,2,1,"mercredi",5,2019,7,57,11.583,1,"mercredi",5,2019,8,0,48.799
205,3214,3183,29281,0,1970,1,1,"mercredi",5,2019,7,57,21.455,1,"mercredi",5,2019,8,0,47.3
356,3269,3186,29657,0,1974,1,1,"mercredi",5,2019,7,58,1.796,1,"mercredi",5,2019,8,3,57.805
915,3212,3183,29438,0,1989,1,1,"mercredi",5,2019,7,58,25.329,1,"mercredi",5,2019,8,13,40.999
287,3207,3640,26164,0,1980,1,1,"mercredi",5,2019,7,58,25.44,1,"mercredi",5,2019,8,3,13.412
995,3191,3195,29629,0,1971,2,1,"mercredi",5,2019,7,58,28.756,1,"mercredi",5,2019,8,15,4.388
209,3186,3270,29653,0,1977,1,1,"mercredi",5,2019,7,58,59.123,1,"mercredi",5,2019,8,2,29.069
222,3278,3186,26314,0,1983,2,1,"mercredi",5,2019,7,59,17.292,1,"mercredi",5,2019,8,2,59.623
323,3681,3187,29280,0,1978,1,1,"mercredi",5,2019,7,59,33.251,1,"mercredi",5,2019,8,4,56.261
252,3278,3273,26225,0,1987,2,1,"mercredi",5,2019,7,59,38.804,1,"mercredi",5,2019,8,3,51.578
494,3210,3640,29576,0,1991,1,1,"mercredi",5,2019,8,0,10.715,1,"mercredi",5,2019,8,8,24.931
487,3210,3640,29484,0,1991,1,1,"mercredi",5,2019,8,0,13.145,1,"mercredi",5,2019,8,8,20.884
118,3213,3186,29634,0,1986,1,1,"mercredi",5,2019,8,0,54.277,1,"mercredi",5,2019,8,2,53.024
527,3679,3195,29668,0,1969,0,1,"mercredi",5,2019,8,1,0.285,1,"mercredi",5,2019,8,9,48.185
206,3270,3186,29197,0,1983,2,1,"mercredi",5,2019,8,1,21.813,1,"mercredi",5,2019,8,4,48.411
260,3194,3195,26290,0,1984,0,1,"mercredi",5,2019,8,1,29.114,1,"mercredi",5,2019,8,5,49.471
