"tripduration","start_station_id","end_station_id","bikeid","usertype","birth.year","gender","start_day","start_month","start_year","start_hour","start_minute","start_second","end_day","end_month","end_year","end_hour","end_minute","end_second"
261,3205,3192,26268,"Subscriber",1980,1,1,8,2019,0,14,55.99,1,8,2019,0,19,17.478
172,3279,3186,26162,"Subscriber",1996,1,1,8,2019,0,23,6.991,1,8,2019,0,25,59.148
525,3199,3203,29279,"Subscriber",1991,1,1,8,2019,0,23,28.617,1,8,2019,0,32,13.7
219,3187,3185,29598,"Subscriber",1988,1,1,8,2019,0,32,36.141,1,8,2019,0,36,15.273
262,3186,3272,26162,"Subscriber",1960,1,1,8,2019,0,41,26.67,1,8,2019,0,45,49.353
820,3185,3679,29598,"Subscriber",1981,1,1,8,2019,0,43,15.299,1,8,2019,0,56,55.535
543,3206,3679,29525,"Subscriber",1985,2,1,8,2019,0,52,59.212,1,8,2019,1,2,2.264
478,3213,3268,29641,"Subscriber",1978,1,1,8,2019,1,0,40.394,1,8,2019,1,8,39.375
2701,3196,3198,29240,"Customer",1969,0,1,8,2019,1,14,10.323,1,8,2019,1,59,12.044
646,3206,3679,29448,"Subscriber",1987,2,1,8,2019,1,49,5.893,1,8,2019,1,59,52.08
265,3194,3195,29477,"Subscriber",1984,2,1,8,2019,3,57,17.728,1,8,2019,4,1,43.111
159,3272,3278,29296,"Customer",1987,1,1,8,2019,4,0,40.837,1,8,2019,4,3,19.943
77,3639,3792,29120,"Subscriber",1971,2,1,8,2019,4,11,44.437,1,8,2019,4,13,2.318
337,3679,3195,29667,"Subscriber",1986,1,1,8,2019,4,40,27.508,1,8,2019,4,46,4.645
678,3207,3276,29674,"Subscriber",1984,2,1,8,2019,5,5,26.501,1,8,2019,5,16,44.58
474,3268,3483,29228,"Subscriber",1998,1,1,8,2019,5,9,28.343,1,8,2019,5,17,23.299
475,3225,3186,29199,"Subscriber",1964,1,1,8,2019,5,12,34.363,1,8,2019,5,20,29.668
450,3199,3199,26316,"Subscriber",1995,1,1,8,2019,5,14,43.129,1,8,2019,5,22,14.042
133,3209,3272,29246,"Subscriber",1982,1,1,8,2019,5,16,25.175,1,8,2019,5,18,39.153
173,3483,3186,29224,"Subscriber",1998,1,1,8,2019,5,17,34.101,1,8,2019,5,20,27.906
226,3269,3186,29276,"Subscriber",1991,1,1,8,2019,5,17,49.691,1,8,2019,5,21,35.925
439,3272,3184,29246,"Subscriber",1978,1,1,8,2019,5,23,46.623,1,8,2019,5,31,5.863
517,3277,3186,29518,"Customer",1986,1,1,8,2019,5,28,42.563,1,8,2019,5,37,19.703
235,3209,3186,26215,"Subscriber",1987,2,1,8,2019,5,34,5.475,1,8,2019,5,38,1.159
477,3483,3639,29284,"Subscriber",1966,1,1,8,2019,5,35,32.71,1,8,2019,5,43,30.481
343,3195,3201,29667,"Subscriber",1991,1,1,8,2019,5,39,24.7,1,8,2019,5,45,8.251
737,3277,3186,29588,"Subscriber",1986,1,1,8,2019,5,39,27.115,1,8,2019,5,51,44.862
256,3678,3195,29681,"Subscriber",1967,1,1,8,2019,5,41,9.765,1,8,2019,5,45,26.608
627,3187,3187,29208,"Subscriber",1987,1,1,8,2019,5,43,15.968,1,8,2019,5,53,43.267
573,3192,3792,29467,"Subscriber",1960,1,1,8,2019,5,45,40.012,1,8,2019,5,55,13.686
164,3187,3187,29535,"Subscriber",1987,2,1,8,2019,5,47,40.635,1,8,2019,5,50,25.392
172,3276,3186,29644,"Subscriber",1984,1,1,8,2019,5,47,50.384,1,8,2019,5,50,42.679
346,3199,3639,26316,"Subscriber",1994,1,1,8,2019,5,49,30.437,1,8,2019,5,55,17.34
258,3186,3279,26215,"Subscriber",1989,1,1,8,2019,5,50,26.927,1,8,2019,5,54,45.808
246,3279,3186,29460,"Subscriber",1981,1,1,8,2019,5,53,24.733,1,8,2019,5,57,31.138
379,3225,3195,29122,"Subscriber",1962,1,1,8,2019,5,54,36.048,1,8,2019,6,0,55.107
377,3203,3202,29570,"Subscriber",1987,1,1,8,2019,5,54,39.695,1,8,2019,6,0,57.276
148,3267,3184,29507,"Subscriber",1973,1,1,8,2019,5,57,41.58,1,8,2019,6,0,10.276
511,3213,3638,29474,"Subscriber",1988,2,1,8,2019,5,58,18.37,1,8,2019,6,6,49.466
305,3203,3186,26199,"Subscriber",1961,1,1,8,2019,6,0,6.608,1,8,2019,6,5,12.537
194,3269,3186,29492,"Subscriber",1989,2,1,8,2019,6,2,34.194,1,8,2019,6,5,49.162
140,3270,3211,29654,"Subscriber",1971,1,1,8,2019,6,3,12.635,1,8,2019,6,5,33.409
271,3207,3640,26228,"Subscriber",1977,1,1,8,2019,6,7,25.216,1,8,2019,6,11,56.831
177,3186,3187,29276,"Subscriber",1975,1,1,8,2019,6,8,6.603,1,8,2019,6,11,4.398
396,3677,3195,29447,"Subscriber",1974,1,1,8,2019,6,8,39.402,1,8,2019,6,15,15.855
124,3792,3639,29120,"Subscriber",1971,2,1,8,2019,6,9,2.857,1,8,2019,6,11,6.863
161,3213,3186,29604,"Subscriber",1986,1,1,8,2019,6,11,37.533,1,8,2019,6,14,19.041
314,3203,3639,29544,"Subscriber",1964,1,1,8,2019,6,12,30.584,1,8,2019,6,17,44.915
