"id","name","capacity","latitude","longitude"
281,"Grand Army Plaza & Central Park S",66,40.7643971,-73.97371465
487,"E 20 St & FDR Drive",34,40.73314259,-73.97573881
3255,"8 Ave & W 31 St",19,40.7505853470215,-73.9946848154068
72,"W 52 St & 11 Ave",55,40.76727216,-73.99392888
79,"Franklin St & W Broadway",33,40.71911552,-74.00666661
82,"St James Pl & Pearl St",27,40.71117416,-74.00016545
83,"Atlantic Ave & Fort Greene Pl",62,40.68382604,-73.97632328
116,"W 17 St & 8 Ave",39,40.74177603,-74.00149746
119,"Park Ave & St Edwards St",19,40.69608941,-73.97803415
120,"Lexington Ave & Classon Ave",19,40.68676793,-73.95928168
127,"Barrow St & Hudson St",31,40.73172428,-74.00674436
128,"MacDougal St & Prince St",30,40.72710258,-74.00297088
143,"Clinton St & Joralemon St",24,40.69239502,-73.99337909
144,"Nassau St & Navy St",19,40.69839895,-73.98068914
146,"Hudson St & Reade St",39,40.71625008,-74.0091059
150,"E 2 St & Avenue C",54,40.7208736,-73.98085795
151,"Cleveland Pl & Spring St",33,40.722103786686,-73.997249007225
157,"Henry St & Atlantic Ave",23,40.69089272,-73.99612349
161,"LaGuardia Pl & W 3 St",35,40.72917025,-73.99810231
164,"E 47 St & 2 Ave",47,40.75323098,-73.97032517
167,"E 39 St & 3 Ave",45,40.7489006,-73.97604882
168,"W 18 St & 6 Ave",47,40.73971301,-73.99456405
173,"Broadway & W 49 St",51,40.7606832709659,-73.9845272898674
174,"E 25 St & 1 Ave",30,40.7381765,-73.97738662
195,"Liberty St & Broadway",45,40.70905623,-74.01043382
212,"W 16 St & The High Line",60,40.74334935,-74.00681753
216,"Columbia Heights & Cranberry St",23,40.70037867,-73.99548059
217,"Old Fulton St",39,40.70277159,-73.99383605
223,"W 13 St & 7 Ave",33,40.73781509,-73.99994661
224,"Spruce St & Nassau St",31,40.71146364,-74.00552427
228,"E 48 St & 3 Ave",55,40.7546011026,-73.971878855
229,"Great Jones St",23,40.72743423,-73.99379025
236,"St Marks Pl & 2 Ave",47,40.7284186,-73.98713956
237,"E 11 St & 2 Ave",39,40.73047309,-73.98672378
238,"Bank St & Washington St",31,40.7361967,-74.00859207
239,"Willoughby St & Fleet St",31,40.69196566,-73.9813018
241,"DeKalb Ave & S Portland Ave",23,40.68981035,-73.97493121
242,"Carlton Ave & Flushing Ave",23,40.697787,-73.973736
243,"Fulton St & Rockwell Pl",31,40.68841,-73.979458
244,"Willoughby Ave & Hall St",31,40.69196035,-73.96536851
245,"Myrtle Ave & St Edwards St",23,40.69327018,-73.97703874
247,"Perry St & Bleecker St",54,40.73535398,-74.00483091
248,"Laight St & Hudson St",23,40.72185379,-74.00771779
