"executionTime","stationBeanList__id","stationBeanList__stationName","stationBeanList__availableDocks","stationBeanList__totalDocks","stationBeanList__latitude","stationBeanList__longitude","stationBeanList__statusValue","stationBeanList__statusKey","stationBeanList__availableBikes","stationBeanList__stAddress1","stationBeanList__stAddress2","stationBeanList__city","stationBeanList__postalCode","stationBeanList__location","stationBeanList__altitude","stationBeanList__testStation","stationBeanList__lastCommunicationTime","stationBeanList__landMark"
"2019-11-28 05:27:11 AM","281","Grand Army Plaza & Central Park S","51","66","40.7643971","-73.97371465","In Service","1","14","Grand Army Plaza & Central Park S","","","","","","False","2019-11-28 05:27:01 AM",""
"","487","E 20 St & FDR Drive","23","34","40.73314259","-73.97573881","In Service","1","11","E 20 St & FDR Drive","","","","","","False","2019-11-28 05:23:56 AM",""
"","3255","8 Ave & W 31 St","0","19","40.7505853470215","-73.9946848154068","In Service","1","18","8 Ave & W 31 St","","","","","","False","2019-11-28 05:26:22 AM",""
"","72","W 52 St & 11 Ave","9","55","40.76727216","-73.99392888","In Service","1","46","W 52 St & 11 Ave","","","","","","False","2019-11-28 05:26:10 AM",""
"","79","Franklin St & W Broadway","13","33","40.71911552","-74.00666661","In Service","1","18","Franklin St & W Broadway","","","","","","False","2019-11-28 05:24:07 AM",""
"","82","St James Pl & Pearl St","0","27","40.71117416","-74.00016545","In Service","1","26","St James Pl & Pearl St","","","","","","False","2019-11-28 05:23:57 AM",""
"","83","Atlantic Ave & Fort Greene Pl","31","62","40.68382604","-73.97632328","In Service","1","31","Atlantic Ave & Fort Greene Pl","","","","","","False","2019-11-28 05:24:22 AM",""
"","116","W 17 St & 8 Ave","17","39","40.74177603","-74.00149746","In Service","1","22","W 17 St & 8 Ave","","","","","","False","2019-11-28 05:23:23 AM",""
"","119","Park Ave & St Edwards St","8","19","40.69608941","-73.97803415","In Service","1","11","Park Ave & St Edwards St","","","","","","False","2019-11-28 05:24:41 AM",""
"","120","Lexington Ave & Classon Ave","8","19","40.68676793","-73.95928168","In Service","1","9","Lexington Ave & Classon Ave","","","","","","False","2019-11-28 05:25:24 AM",""
"","127","Barrow St & Hudson St","2","31","40.73172428","-74.00674436","In Service","1","29","Barrow St & Hudson St","","","","","","False","2019-11-28 05:23:29 AM",""
"","128","MacDougal St & Prince St","22","30","40.72710258","-74.00297088","In Service","1","7","MacDougal St & Prince St","","","","","","False","2019-11-28 05:26:23 AM",""
"","143","Clinton St & Joralemon St","22","24","40.69239502","-73.99337909","In Service","1","2","Clinton St & Joralemon St","","","","","","False","2019-11-28 05:26:27 AM",""
"","144","Nassau St & Navy St","16","19","40.69839895","-73.98068914","In Service","1","3","Nassau St & Navy St","","","","","","False","2019-11-28 05:24:21 AM",""
"","146","Hudson St & Reade St","8","39","40.71625008","-74.0091059","In Service","1","31","Hudson St & Reade St","","","","","","False","2019-11-28 05:25:21 AM",""
"","150","E 2 St & Avenue C","28","54","40.7208736","-73.98085795","In Service","1","26","E 2 St & Avenue C","","","","","","False","2019-11-28 05:24:58 AM",""
"","151","Cleveland Pl & Spring St","20","33","40.722103786686034","-73.99724900722504","In Service","1","10","Cleveland Pl & Spring St","","","","","","False","2019-11-28 05:25:36 AM",""
"","157","Henry St & Atlantic Ave","9","23","40.69089272","-73.99612349","In Service","1","14","Henry St & Atlantic Ave","","","","","","False","2019-11-28 05:26:48 AM",""
"","161","LaGuardia Pl & W 3 St","7","35","40.72917025","-73.99810231","In Service","1","28","LaGuardia Pl & W 3 St","","","","","","False","2019-11-28 05:25:29 AM",""
"","164","E 47 St & 2 Ave","34","47","40.75323098","-73.97032517","In Service","1","13","E 47 St & 2 Ave","","","","","","False","2019-11-28 05:26:31 AM",""
"","167","E 39 St & 3 Ave","32","45","40.7489006","-73.97604882","In Service","1","11","E 39 St & 3 Ave","","","","","","False","2019-11-28 05:25:54 AM",""
"","168","W 18 St & 6 Ave","31","47","40.73971301","-73.99456405","In Service","1","16","W 18 St & 6 Ave","","","","","","False","2019-11-28 05:26:32 AM",""
"","173","Broadway & W 49 St","30","51","40.76068327096592","-73.9845272898674","In Service","1","21","Broadway & W 49 St","","","","","","False","2019-11-28 05:23:28 AM",""
"","174","E 25 St & 1 Ave","25","30","40.7381765","-73.97738662","In Service","1","4","E 25 St & 1 Ave","","","","","","False","2019-11-28 05:24:34 AM",""
"","195","Liberty St & Broadway","45","45","40.70905623","-74.01043382","In Service","1","0","Liberty St & Broadway","","","","","","False","2019-11-28 05:25:30 AM",""
"","212","W 16 St & The High Line","37","60","40.74334935","-74.00681753","In Service","1","23","W 16 St & The High Line","","","","","","False","2019-11-28 05:26:11 AM",""
"","216","Columbia Heights & Cranberry St","21","23","40.70037867","-73.99548059","In Service","1","2","Columbia Heights & Cranberry St","","","","","","False","2019-11-28 05:23:40 AM",""
"","217","Old Fulton St","23","39","40.70277159","-73.99383605","In Service","1","16","Old Fulton St","","","","","","False","2019-11-28 05:23:54 AM",""
"","223","W 13 St & 7 Ave","7","33","40.73781509","-73.99994661","In Service","1","26","W 13 St & 7 Ave","","","","","","False","2019-11-28 05:24:17 AM",""
"","224","Spruce St & Nassau St","31","31","40.71146364","-74.00552427","In Service","1","0","Spruce St & Nassau St","","","","","","False","2019-11-28 05:25:32 AM",""
"","228","E 48 St & 3 Ave","40","55","40.7546011026","-73.971878855","In Service","1","15","E 48 St & 3 Ave","","","","","","False","2019-11-28 05:24:06 AM",""
"","229","Great Jones St","15","23","40.72743423","-73.99379025","In Service","1","8","Great Jones St","","","","","","False","2019-11-28 05:27:09 AM",""
"","236","St Marks Pl & 2 Ave","5","47","40.7284186","-73.98713956","In Service","1","42","St Marks Pl & 2 Ave","","","","","","False","2019-11-28 05:24:01 AM",""
"","237","E 11 St & 2 Ave","3","39","40.73047309","-73.98672378","In Service","1","35","E 11 St & 2 Ave","","","","","","False","2019-11-28 05:24:46 AM",""
"","238","Bank St & Washington St","7","31","40.7361967","-74.00859207","In Service","1","24","Bank St & Washington St","","","","","","False","2019-11-28 05:23:54 AM",""
"","239","Willoughby St & Fleet St","26","31","40.69196566","-73.9813018","In Service","1","5","Willoughby St & Fleet St","","","","","","False","2019-11-28 05:24:31 AM",""
"","241","DeKalb Ave & S Portland Ave","20","23","40.68981035","-73.97493121","In Service","1","3","DeKalb Ave & S Portland Ave","","","","","","False","2019-11-28 05:27:07 AM",""
"","242","Carlton Ave & Flushing Ave","20","23","40.697787","-73.973736","In Service","1","3","Carlton Ave & Flushing Ave","","","","","","False","2019-11-28 05:23:14 AM",""
"","243","Fulton St & Rockwell Pl","27","31","40.68841","-73.979458","In Service","1","4","Fulton St & Rockwell Pl","","","","","","False","2019-11-28 05:24:18 AM",""
"","244","Willoughby Ave & Hall St","22","31","40.69196035","-73.96536851","In Service","1","9","Willoughby Ave & Hall St","","","","","","False","2019-11-28 05:25:33 AM",""
"","245","Myrtle Ave & St Edwards St","18","23","40.69327018","-73.97703874","In Service","1","5","Myrtle Ave & St Edwards St","","","","","","False","2019-11-28 05:25:08 AM",""
"","247","Perry St & Bleecker St","2","54","40.73535398","-74.00483091","In Service","1","50","Perry St & Bleecker St","","","","","","False","2019-11-28 05:25:28 AM",""
"","248","Laight St & Hudson St","8","23","40.72185379","-74.00771779","In Service","1","15","Laight St & Hudson St","","","","","","False","2019-11-28 05:23:38 AM",""
"","249","Harrison St & Hudson St","24","27","40.71870987","-74.0090009","In Service","1","3","Harrison St & Hudson St","","","","","","False","2019-11-28 05:25:07 AM",""
